ID,SubCompanyID,SubCompanyName,LocationID,BranchCode,BranchFullName,LocationName,Code,SubCompanyNameVN,BranchFullNameVN,LocationNameVN
1753,22,Vung 3,320,5,HDG - Hai Duong 05,Hai Duong,HDG,Vùng 3,HDG - Hải Dương 05,Hải Dương
1754,52,Vung 6,61,5,DNI - Dong Nai 05,Dong Nai,DNI,Vùng 6,DNI - Đồng Nai 05,Đồng Nai
1755,52,Vung 6,61,6,DNI - Dong Nai 06,Dong Nai,DNI,Vùng 6,DNI - Đồng Nai 06,Đồng Nai
1756,52,Vung 6,61,7,DNI - Dong Nai 07,Dong Nai,DNI,Vùng 6,DNI - Đồng Nai 07,Đồng Nai
1757,32,Vung 4,511,1,DNG - Da Nang 01,Da Nang,DNG,Vùng 4,DNG - Đà Nẵng 01,Đà Nẵng
1758,32,Vung 4,511,2,DNG - Da Nang 02,Da Nang,DNG,Vùng 4,DNG - Đà Nẵng 02,Đà Nẵng
1759,32,Vung 4,511,3,DNG - Da Nang 03,Da Nang,DNG,Vùng 4,DNG - Đà Nẵng 03,Đà Nẵng
1760,12,Vung 2,241,2,BNH - Bac Ninh 02,Bac Ninh,BNH,Vùng 2,BNH - Bắc Ninh 02,Bắc Ninh
1761,12,Vung 2,240,1,BGG - Bac Giang 01,Bac Giang,BGG,Vùng 2,BGG - Bắc Giang 01,Bắc Giang
1762,12,Vung 2,240,2,BGG - Bac Giang 02,Bac Giang,BGG,Vùng 2,BGG - Bắc Giang 02,Bắc Giang
4343,32,Vung 4,58,1,KHA - Nha Trang 01,Nha Trang,KHA,Vùng 4,KHA - Khánh Hòa 01,Khánh Hòa
4353,32,Vung 4,58,2,KHA - Nha Trang 02,Nha Trang,KHA,Vùng 4,KHA - Khánh Hòa 02,Khánh Hòa
4363,32,Vung 4,58,3,KHA - Nha Trang 03,Nha Trang,KHA,Vùng 4,KHA - Khánh Hòa 03,Khánh Hòa
